Round,Fitness
0,340
0,202
0,386
0,250
0,199
0,239
0,212
0,165
0,93
0,123
0,109
0,121
0,137
0,139
0,236
0,281
0,183
0,323
0,109
0,237
0,234
0,229
0,250
0,240
0,281
0,289
0,194
0,158
0,241
0,211
0,232
0,210
0,175
0,94
0,97
0,90
0,105
0,200
0,126
0,243
0,273
0,190
0,271
0,162
0,236
0,238
0,222
0,251
0,224
0,297
0,292
0,192
0,150
0,264
0,245
0,180
0,208
0,193
0,95
0,100
0,90
0,94
0,171
0,138
0,231
0,291
0,188
0,255
0,170
0,232
0,235
0,237
0,236
0,223
0,318
0,286
0,177
0,154
0,259
0,195
0,231
0,210
0,169
0,92
0,96
0,95
0,97
0,210
0,127
0,242
0,276
0,191
0,283
0,156
0,233
0,240
0,225
0,243
0,226
0,314
0,277
0,190
0,154
0,248
0,208
0,231
0,208
0,206
0,97
0,91
0,101
0,107
0,149
0,143
0,257
0,260
0,231
0,259
0,134
0,242
0,236
0,215
0,251
0,224
0,303
0,290
0,197
0,152
0,243
0,202
0,233
0,217
0,152
0,97
0,94
0,93
0,92
0,211
0,142
0,231
0,281
0,190
0,269
0,169
0,234
0,235
0,239
0,232
0,246
0,285
0,287
0,191
0,155
0,253
0,221
0,213
0,202
0,167
0,114
0,110
0,99
0,93
0,165
0,141
0,233
0,245
0,198
0,278
0,250
0,312
0,111
0,261
0,188
0,157
0,137
0,249
0,194
0,229
0,166
0,243
0,243
0,324
0,212
0,146
0,233
0,91
0,114
0,101
0,119
0,238
0,237
0,234
0,206
0,247
0,371
0,113
0,233
0,216
0,91
0,89
0,94
0,127
0,262
0,217
0,211
0,223
0,256
0,341
0,145
0,242
0,168
0,115
0,96
0,101
0,126
0,281
0,201
0,205
0,227
0,252
0,289
0,250
0,176
0,213
0,94
0,107
0,92
0,147
0,207
0,247
0,197
0,242
0,237
0,305
0,170
0,224
0,207
0,91
0,97
0,277
0,288
0,161
0,261
0,239
0,277
0,254
0,142
0,238
0,88
0,98
0,94
0,154
0,228
0,232
0,211
0,232
0,246
0,290
0,256
0,162
0,219
0,132
0,93
0,106
0,178
0,151
0,246
0,248
0,189
0,237
0,286
0,248
0,171
0,208
0,138
0,92
0,89
0,196
0,138
0,336
0,121
0,225
0,231
0,240
0,108
0,116
0,244
0,184
0,169
0,123
0,269
0,199
0,278
0,113
0,261
0,222
0,377
0,336
0,241
0,135
0,95
0,100
0,216
0,91
0,299
0,147
0,236
0,305
0,236
0,250
0,145
0,233
0,120
0,89
0,92
0,133
0,224
0,250
0,218
0,297
0,177
0,350
0,100
0,248
0,187
0,208
0,95
0,259
0,168
0,250
0,227
0,178
0,240
0,317
0,249
0,139
0,220
0,142
0,104
0,109
0,167
0,186
0,205
0,260
0,170
0,243
0,306
0,271
0,135
0,211
0,147
0,92
0,291
0,206
0,189
0,219
0,212
0,246
0,298
0,175
0,251
0,191
0,92
0,123
0,240
0,241
0,269
0,185
0,218
0,240
0,142
0,331
0,224
0,148
0,98
0,106
0,190
0,125
0,234
0,276
0,206
0,196
0,237
0,302
0,249
0,149
0,231
0,93
0,94
0,286
0,200
0,281
0,162
0,238
0,241
0,229
0,137
0,347
0,211
0,207
0,106
0,95
0,282
0,225
0,268
0,173
0,240
0,343
0,205
0,154
0,226
0,149
0,93
0,88
0,184
0,139
0,307
0,142
0,238
0,238
0,242
0,113
0,113
0,241
0,201
0,139
0,113
0,286
0,219
0,225
0,149
0,229
0,245
0,294
0,247
0,223
0,139
0,157
0,96
0,105
0,331
0,285
0,160
0,246
0,228
0,235
0,109
0,117
0,245
0,218
0,119
0,96
0,110
0,94
0,237
0,248
0,189
0,275
0,222
0,282
0,252
0,161
0,249
0,96
0,102
0,238
0,270
0,158
0,255
0,318
0,234
0,153
0,209
0,120
0,90
0,93
0,119
0,266
0,262
0,166
0,237
0,356
0,171
0,197
0,104
0,93
0,93
0,108
0,217
0,282
0,173
0,235
0,308
0,178
0,214
0,145
0,100
0,108
0,347
0,243
0,185
0,230
0,266
0,332
0,117
0,241
0,183
0,174
0,86
0,306
0,187
0,235
0,164
0,251
0,230
0,353
0,111
0,250
0,203
0,144
0,114
0,312
0,170
0,220
0,170
0,261
0,226
0,285
0,292
0,125
0,208
0,249
0,91
0,87
0,246
0,293
0,181
0,211
0,249
0,397
0,324
0,218
0,258
0,99
0,89
0,226
0,288
0,206
0,206
0,233
0,160
0,174
0,137
0,232
0,178
0,166
0,86
0,303
0,197
0,225
0,167
0,246
0,233
0,305
0,269
0,146
0,213
0,87
0,91
0,344
0,194
0,231
0,176
0,245
0,215
0,304
0,250
0,180
0,224
0,97
0,91
0,89
0,115
0,239
0,237
0,208
0,241
0,240
0,353
0,120
0,245
0,250
0,98
0,106
0,100
0,178
0,133
0,277
0,165
0,282
0,205
0,291
0,249
0,147
0,242
0,90
0,97
0,90
