Generation,Fitness
1,273
2,296
3,296
4,296
5,296
6,296
7,296
8,296
9,296
10,296
11,296
12,296
13,296
14,296
15,296
16,296
17,296
18,296
19,296
20,296
21,296
22,296
23,296
24,296
25,296
26,296
27,296
28,296
29,296
30,296
31,296
32,296
33,296
34,296
35,296
36,296
37,296
38,296
39,296
40,296
41,296
42,296
43,296
44,296
45,296
46,296
47,296
48,296
49,296
50,296
51,296
52,296
53,296
54,296
55,296
56,296
57,296
58,296
59,296
60,296
61,296
62,296
63,296
64,296
65,296
66,296
67,296
68,296
69,296
70,296
