Generation,Fitness
1,212.22321428571428
2,258.2
3,278.3666666666667
4,278.03333333333336
5,310.1666666666667
6,282.3333333333333
7,301.5
8,319.06666666666666
9,334.6666666666667
10,322.3333333333333
11,349.6666666666667
12,385.6666666666667
13,379.26666666666665
14,1309.1333333333334
15,17220.9
16,65426.166666666664
17,96370
18,102257.26666666666
19,100271.8
20,104093.63333333333
21,100220.8
22,100055.26666666666
23,101366.06666666667
24,102304.4
25,102054.93333333333
26,98894
27,102428.33333333333
28,97602.43333333333
29,101454.3
30,103169.13333333333
31,102347.2
32,105004.03333333334
33,104814.66666666667
34,101609.7
35,105456.36666666667
36,105146.8
37,106549.73333333334
38,108255.43333333333
39,107687.63333333333
40,109100.36666666667
41,110563.43333333333
42,112067.96666666666
43,106581.76666666666
44,110100.36666666667
45,115213.36666666667
46,116886.4
47,115151.53333333334
48,107699.33333333333
49,110368.76666666666
50,109974.9
