w	m	vertical	restriced	series_display	page	order	detail
伊藤潤二	0			1	1		
	0					rank	1
	8		1		1		
!	2	1		1		rank	
%	2						1
=	2	1					
\	8		1			rank	
-	2	1			1		1
_	8		1				
[	8		1	1			1
+	0			1			
!	8						
}	0				1	rank	
)	2	1	1				1
}	2						
&	0			1		rank	
=	0		1	1	1		1
!	0		1		1		1
&	8				1		
]	2						1
$	2	1					
[	2				1		
$	0			1	1		
(	8						
*	0			1			1
%	2	1		1	1		
#	8					rank	
\	2	1					
	8		1			rank	
}	8		1	1			1
{	8			1	1	rank	
(	0				1	rank	
$	8		1			rank	1
;	0		1	1			
*	2		1		1		
-	8			1			
^	8				1		1
	2	1		1		rank	
@	2	1	1			rank	1
@	0			1	1		
;	2	1			1		1
伊藤潤二	2	1	1				1
%	8		1			rank	
	2	1					1
[	2	1				rank	
]	8		1	1			
'	0		1				
^	0					rank	
=	8					rank	
%	0		1				
	2	1		1	1		
{	2	1	1				
*	2	1				rank	
'	2	1		1		rank	1
_	0				1	rank	1
	0						1
伊藤潤二	8					rank	
-	0		1			rank	
]	0				1	rank	
_	2	1		1			
{	0						1
^	2	1	1	1			
#	0				1		
	8		1				
}	2	1	1		1		1
@	8						
[	0				1	rank	
&	2	1	1				1
+	2	1				rank	1
\	0			1	1		1
;	8					rank	
#	2	1	1	1			1
+	8		1		1		
'	8				1		
)	8			1		rank	
)	0				1		
(	2	1	1	1			1
]	2	1		1	1	rank	
	0			1	1		
*	8			1	1	rank	
!	8			1			
~	8			1			
~	2	1	1	1		rank	1
~	0				1		
~	2	1					
