word	md	qMd	qCol	size	order	compose	pos0	pos	len	len0
%	0	0		10		千	-1			1
}	0		17	0	0	a	1	0		
$	3	3		101			4	1	0	0
}	1		1		1	千			21	
_	3	1	1		3	a		21	1	21
+	1	0	0	0	0				0	21
	1	1	17	10	3		-1	1	21	
}	3	3	0	10	1	千	4	0	1	0
_	1						4			1
(	3				3		1	0		
\	0	0	17	101	1	千		21	0	
\	1	3	0			a	1	21	21	0
'	1			0		a		0	21	1
=	0			10		a	-1	21		
#	3				3	千				0
	0			101	1	a		1		21
!	3	3			0		-1		1	
	0	1	1			千	-1	0	0	21
$	3	1	17	0		千	1			21
	3	0	0	101		a		0	1	1
'	0	1	1	101	1		1		1	
=	1	3	1		0	a	4			
_	0		0	10	0	千	1	1	0	
^	0	3		0	3	a	4	21	0	1
'	0	0	0		3	a				0
千	3	3	17	0				21		
$	0	0			1	a		0		1
@	1			0		a		1	1	
!	1	1	1	101	0	千		1		1
[	0		17		1	a	4		21	21
%	3		0			a			21	
#	0	0	0	101			-1	1	21	21
}	3	1					-1	1		21
{	3		1				-1		0	0
@	3	1		10	3	千				0
\	3		17	10	0			21	1	0
)	0	1			0	a	4	1	21	
	3	0	0	0	1		1	1		1
=	3	1	0	101		千			1	0
)	3		1	0	1	千	-1			0
	1	0		10		a	4			
_	0	3		101				0		
_	3	0	17	0	1	千	-1		21	0
\	3	3	1		3	千	4	0		21
;	3	0	1		3	千		0	1	
)	1	0	1	10			1	21	1	21
=	0		17	101	3		1	0	21	1
'	3		17		0	千	4	21	0	
	0				1	千		21		
	3	3					1	21		1
%	1			101	1			1	0	
+	3		1			a	-1		21	
[	3			10		千			0	1
]	0		17	10			-1			21
-	3	3		0	0	千	-1	1		
千	0	1		10	1	千	4			1
$	1		0	10	3	a		21	21	
]	1		0	101	3	千		21		1
千	1				3	a		0	1	21
	0	3	17	101	3				21	0
-	1		17	101	1		4	0	0	1
+	0	3		101	1	千	1	1		1
	1	0	1	10		千	4	0	21	0
-	0	1		10		a				
}	0	0		101					0	1
&	3	3	17	0	3		1	1	21	
&	1		0			千		0	1	21
}	0		1		3	a	1	21		
;	1			10		a	-1		0	
	0	3		0		a	1			21
&	0	0	1	101	1	a	4		0	
#	1	1	1	10		a	4		1	1
	3				0	千		21	1	
+	0	1	17			a	4	0	1	0
*	3	3		10	1	千	-1	21	21	21
)	0			101	3			0	0	1
'	3	3		10		a	-1	1		21
[	1	0		101	0		-1	1		
@	0	3	1		1		4	0		1
!	0	0	17	0	1	a				0
%	1	3	17		3	a	1	21		21
[	3	1	1		3	a		21	1	0
	3		17		3	千			0	
\	1			0		a	-1	1		1
-	3	0	0		3	a		21	1	0
^	1		1	101	1		1		1	
(	1	0		101		千	4		1	0
	3		1		0		4		0	0
$	1		1		0	a	-1		1	
&	1			10			-1	21		0
;	0	3	17		1			1	21	1
#	1		17		1			0	0	
\	1	1			0	千				
	3	1	0	0	0		-1		1	
!	1		0	10		a	1	0	0	
%	0	1	1	0	0	a	4	0	1	0
]	3	1	1	0		a	4		21	
$	0	3		10		a	1	0		1
*	0		17		3	a		1	1	
#	0	3		0	0	千	1	21		
*	1			0			1	0	0	1
千	0	0	0			千	-1	1	21	0
^	3	1	17			千		0		21
千	0		1	101	0	a	1		0	
;	0	1	0	0			1	21		21
(	0	1	0		0	a	-1			21
{	1	3	0	0		千	4	0	21	
{	0	0		10	3	a			1	21
{	0			101	1		1	21		1
-	3		1				1		21	21
(	1	3	17	10				1	0	1
&	1	1			0	a				1
@	1	0	17		0	千	-1	21	0	
^	1	0			0	a		1		0
]	0	0			1	a	1	1	0	0
)	3	3	0							
[	0	3	0	0		千	1	0		
+	3			10	3	千		21		
]	3	3			0	a		0	1	
*	1	0	1			a				
@	3		0	101			1		21	21
^	3		0	10			-1		21	
*	1	1	0	101	0	a	4			0
=	3	0		0	1	a		1	0	21
;	1			101	0	千	4			0
!	3				3	千	4	21	21	21
(	1		1	0	1	千		21	21	
{	1	1	17		0	a		1		
)	3		17	101		千		1		1
	0		1	101	3	a		1	0	
=	3		0			a	1			
\	0		17	10		a	1			21
!	1		1			a	1		21	
~	1	3	17		1	千		21	1	21
~	0	0	0	0	0		4	0		
~	3					a				1
~	0	1		10	3	a	-1		21	
~	3		1	101		a	1	1	0	0
