cosname	teaname	wk	dept_no	degree	cl
		0	1A	8	1
:	_	0		7	0
#	!	7	A1	1	1
?	)	1	1A	0	0
#	陳因	4		4	0
\	%	1	A1	7	1
]	:	8	1A	4	1
}	#	8	A1	8	0
[	_	4		0	1
/	!	1		1	0
!	$	0	A1	0	0
$	陳培殷	7	A1	4	0
+	*	4	1A	1	0
\	'	7		8	0
}	?	7	1A	7	1
#	(	8	1A	7	0
/	陳培殷	4	1A	8	1
{	.	8		1	1
]	[	4	A1	0	0
)	%	0	1A	4	0
!	>	4	1A	1	1
@	:	7	A1	0	0
)	]	8	A1	0	1
^	!	4	1A	4	1
#	[	1	1A	8	1
-	&	1	1A	4	1
;	^	0	1A	1	0
"	?	1	A1	4	0
'	"	4	1A	7	0
$	_	8	1A	8	1
"	}	8		8	1
生理學	\	4	A1	1	1
	^	4	A1	0	1
@	@	0	1A	1	1
&	}	7	1A	7	0
;	!	8	A1	8	1
$	;	0		7	1
.	/	7	A1	8	0
:	{	1	1A	1	1
/	@	8	A1	7	0
\	"	0	1A	1	1
*	)	8	A1	4	1
;	[	7		4	0
生殖學	]	4		4	0
[	>	8	A1	8	0
;	'	1	1A	7	1
=	{	8	A1	4	0
'	=	1	A1	1	1
;		4	A1	0	0
	.	7	1A	8	0
$	#	1		0	1
"	陳培殷	0		7	0
?	_	7	A1	1	1
%	/	8		4	1
{	$	1	1A	4	0
[	張瀞之	1	1A	4	0
]	(	0		1	1
;	\	8		8	0
@	/	1	1A	7	0
/	>	0		4	0
}	=	0		4	0
:	>	7	A1	0	0
	#	0	1A	1	0
!	張瀞之	7		8	1
\	/	4		0	1
*	(	1	A1	0	0
;	;	7	A1	4	0
生理學	#	7	1A	4	0
^	?	0		0	0
生殖學	_	1	A1	8	1
@	>	1		7	0
\	?	8		4	1
$	/	0		1	1
-	{	7		0	0
[	{	0		7	1
<		7	A1	8	1
>	-	1	A1	8	1
-	=	4	A1	7	1
+	!	0	A1	0	1
#	<	0		0	0
/	}	4	A1	0	0
$	"	7	A1	0	0
生理學	陳因	8	A1	8	1
>	!	8		7	0
	]	1		7	0
[	^	7		8	1
;	$	4		7	1
"	.	4	A1	0	1
&	{	4		8	1
<	陳培殷	1	1A	1	0
	"	8		4	0
<	]	0	1A	4	1
"	+	7	1A	1	0
/	"	7	1A	8	0
&	)	0		1	0
)		1		7	0
	*	8	A1	4	1
?		8		4	0
$		4	A1	7	0
*	陳因	7	1A	1	1
[	陳因	0		7	0
/	]	7	A1	1	1
[	'	0	A1	1	0
+		8	1A	4	0
}	^	1	1A	7	0
*		1		7	0
/	^	8		4	1
(	;	8	1A	0	1
[		7		1	0
_	}	0	A1	1	1
_	&	8		7	0
;	)	4		7	1
?	-	4	1A	7	0
?	"	1		8	1
[	!	1		8	0
{		7	A1	7	0
?	\	0	1A	0	1
*	?	4		8	0
%	>	7	1A	1	0
!	!	1		4	0
_	/	7	1A	4	1
'	*	0		8	0
"	%	4		1	0
<	>	8		7	0
生理學	"	0		0	0
{	=	0	1A	8	1
"	)	7	1A	8	1
]	*	1	1A	7	0
!	陳培殷	8		0	1
]	&	7	A1	8	0
}	%	4	A1	0	1
生殖學	<	7	1A	1	1
%	;	4	A1	8	0
!		4		0	0
!	+	0		7	1
-	;	0		1	1
	(	7		4	1
_	#	4	A1	7	1
_	=	8		0	1
?	:	0		8	1
\	陳因	1	1A	0	0
'	-	8		4	1
$	[	0	A1	7	1
.	>	4		7	1
&	(	8	A1	8	1
;	陳培殷	1	1A	1	1
:		8	1A	1	1
>	/	4	1A	4	1
'	!	7	A1	0	1
"	$	7	1A	8	0
*	!	0	1A	7	0
_	?	1	A1	1	0
[	@	1		0	1
;	(	4	1A	7	1
!	{	0	A1	1	0
)	)	4		8	1
&	=	1	A1	0	0
[	*	7	1A	0	1
<	#	4		0	1
%	+	1	A1	0	1
!	-	7	1A	1	0
	+	4		7	0
	;	1	A1	1	1
"	_	0	A1	4	1
@	)	4		8	1
(	(	4	A1	8	0
	}	1	A1	1	0
:	.	1	A1	4	1
^	-	7	A1	0	1
=	)	7	1A	7	1
\	&	0	A1	0	1
[	<	1	A1	7	0
!	\	1	A1	7	1
^	'	8	1A	0	1
[	&	4	1A	1	1
^	:	1	1A	7	0
生理學	<	4	A1	4	0
+	+	8		8	1
	[	8	1A	1	1
)	@	7	A1	1	0
#	-	0	1A	7	0
@	&	8		4	0
=		4		0	0
.	@	0	1A	4	0
{	@	4		0	1
&	+	4	1A	4	0
>		0		0	1
$	)	1	1A	7	1
^	"	0	A1	1	1
<	(	7	A1	7	1
<	-	0		4	0
!	&	8	1A	7	0
	[	7		0	0
生殖學	!	0		0	0
#		1	A1	8	1
"	]	1		8	1
\	^	1	1A	1	1
%	?	0		7	0
/	'	4	A1	4	1
>	張瀞之	4	A1	1	1
_		4	1A	8	1
>	+	7	1A	4	1
生理學	*	1		7	1
	)	1	A1	4	0
/	$	8	A1	1	1
[	=	7		1	0
	@	0	1A	8	0
{	<	8	A1	8	1
/	-	0	1A	7	0
-	[	8		8	1
_	+	0	A1	8	0
	&	1	1A	0	0
&	%	8		8	0
]	陳因	0	A1	8	1
	%	7		1	1
=	;	1	A1	8	0
生理學	[	8	A1	4	0
(	張瀞之	0		7	1
{	陳培殷	1	1A	4	1
生殖學	/	8		7	0
*	$	7	1A	0	0
[	]	8	1A	8	0
<	\	7	A1	4	0
+	"	7		7	1
@	]	7	A1	0	0
{	(	8	A1	8	0
+	.	0		7	1
	$	8	A1	0	0
&	[	4		1	0
生理學	張瀞之	8	1A	0	0
_	^	7	1A	7	1
:	#	4	1A	8	1
	-	7	1A	4	1
;	?	8	A1	7	0
/	\	0	1A	1	0
*		0	A1	1	1
)	'	0		0	1
)	_	7	A1	0	1
&	/	0	1A	1	0
^	>	8	1A	8	1
$	@	4		1	0
[	-	8	A1	8	1
:	;	1	A1	7	0
!	#	4	A1	1	1
		8	1A	1	1
$	陳因	1	1A	1	1
+	>	1	1A	1	1
<	<	7	1A	8	0
(	=	7		1	1
>	]	0		8	1
"	'	0	1A	7	0
#	_	8		0	1
]	<	4	A1	4	0
?	=	0	A1	0	1
(	>	1	A1	4	1
+	^	8	A1	8	0
!		0	1A	1	0
>	$	8	1A	7	1
!	*	8	A1	1	0
!	=	1	1A	4	0
	<	4	A1	7	0
>	[	7	1A	8	0
/	_	8	A1	0	0
\	(	1	A1	0	0
=	#	0	1A	1	0
&	@	1	1A	0	0
$	!	8	1A	7	1
